id,video_id,author,comment,published_at,like_count
1523,YaZKHiDAATw,@abysiniamedia1335,አሜን። አሜን።አሜን።,2025-06-15T19:10:39Z,0
1,IqQTvtOiIGQ,@BrightVision-t5p,🤲⛪️👏🏻Praise be to God 👏💒🤲Amen 🤲,2025-06-15T13:51:26Z,1
1290,6BTT39Ik-xc,@BrightVision-t5p,🤲💒👏🏻Praise be to God 👏⛪️🤲Amen 🤲,2025-06-15T13:23:39Z,1
2,IqQTvtOiIGQ,@kidanemisikir855,ድምጽ የለም,2025-06-15T12:15:28Z,1
3,IqQTvtOiIGQ,@abebafitta5377,አሜን🙏🙏🙏,2025-06-15T12:15:06Z,1
4,IqQTvtOiIGQ,@abebafitta5377,🎉🎉🎉❤❤❤,2025-06-15T12:13:54Z,1
1291,7rqWbUUs-Hc,@BrightVision-t5p,❤❤❤,2025-06-14T23:17:12Z,1
1309,_sj6PQncufE,@TheBomboclat,1:44:43 ለሕጽንክሙ,2025-06-10T01:30:47Z,0
1310,_sj6PQncufE,@TheBomboclat,20:33 ማኅሌተ ጽጌ,2025-06-10T01:25:51Z,0
1326,0E_K21H9RoM,@mengistuaddis8582,ቃልን የፈጠረ አምላክ ቃለ-ሕይወትን ያሰማልኝ!,2025-06-06T21:18:43Z,0
1292,5j1iyw1zQMY,@BrightVision-t5p,🤲⛪️👏እግዚአብሔር  አምላክ  ይመስገን👏🏻💒🤲አሜን🤲,2025-06-01T21:45:37Z,1
5,NArIbYkDc5o,@zemmayared1921,አሜን አሜን አሜን 🙏🙏🙏,2025-06-01T16:58:55Z,0
6,NArIbYkDc5o,@BrightVision-t5p,🤲💒👏ክርስቶስ ተንሥዐ እሙታን በዓብይ ኃይል ወስልጣን አሰሮ ለሰይጣን አጋዝኦ ለአዳም ሰላም እምይእዜሰ  ኮነ  ፍሰሐ ወሰላም 👏🏻⛪️🤲አሜን🤲,2025-06-01T15:41:04Z,2
7,NArIbYkDc5o,@BrightVision-t5p,🤲⛪️👏🏻እግዚአብሔር አምላክ ይመስገን👏💒🤲አሜን🤲,2025-06-01T15:25:40Z,2
8,buzacn0gNS4,@BrightVision-t5p,🤲⛪️👏🏻እግዚአብሔር  አምላክ ይመስገን👏💒🤲አሜን🤲,2025-05-30T23:43:33Z,1
9,n2mgvVJIbf0,@BrightVision-t5p,🤲💒👏እግዚአብሔር አምላክ ይመስገን👏🏻⛪️🤲አሜን🤲,2025-05-29T15:43:46Z,1
1557,d4xTFbme_DM,@manchiloguadie2288,"የንታዋ ፣
ቃለ ሕይወት ፣ ወዘማሬ መላእክት ያስምእከ!",2025-05-26T18:54:49Z,0
10,489-7jpwq-U,@BrightVision-t5p,🤲💒👏እግዚአብሔር አምላክ ይመስገን👏🏻⛪️🤲አሜን🤲,2025-05-24T16:02:31Z,1
11,489-7jpwq-U,@YemBelay,Amen,2025-05-24T01:38:39Z,1
12,489-7jpwq-U,@YemBelay,Kalehiwet yisemalen Lezelalemu,2025-05-24T01:22:36Z,2
13,AOZMTS95SrI,@kelemeworkbirhane2881,29:50,2025-05-21T20:31:00Z,0
1568,Uv_250OrTRU,@AddisalemAlene,ቃለሕወትን ያሰማልን❤❤❤,2025-05-21T06:16:28Z,0
14,qSadgBqRILw,@genetm9265,Amen 🙏 Amen,2025-05-20T14:34:26Z,0
15,gmZ-47vC7Uw,@BrightVision-t5p,🤲💒👏እግዚአብሔር  አምላክ  ይመስገን👏🏻⛪️🤲አሜን🤲,2025-05-19T16:04:42Z,1
1293,LWBsGPjtVs0,@BrightVision-t5p,🤲⛪️👏እግዚአብሔር አምላክ ይመስገን👏🏻💒🤲አሜን🤲,2025-05-18T18:31:14Z,2
1569,Uv_250OrTRU,@yaredabarham,ቃለሕወትን ያሰማልን❤❤❤,2025-05-18T17:45:20Z,1
16,DQUQjS7mvqw,@asegeteshome7837,Geta yebarkh...,2025-05-17T15:20:54Z,3
17,kM19Xhq24ok,@zemmayared1921,🙏🙏🙏  አሜን,2025-05-17T00:46:20Z,0
18,EYmNBfyGNGw,@Teddybears123,Amen,2025-05-11T01:26:16Z,0
21,sgxrpH0oh60,@asterfkrteastu,ጐበዞች በርቱ እግዚአብሔር ከናንተ ጋር ይሁን  ተባረኩ የአመት ሰዉ ይበላችሁ እመቤታችን  ከልጇ ታማልዳችሁ,2025-05-10T14:09:37Z,1
22,sgxrpH0oh60,@gebremariambeyene6969,እኔ እዚህ ቦታ ነበረኩ። ብልህስ,2025-05-10T09:40:44Z,0
23,sgxrpH0oh60,@mekonensahle-s7u,በእውነት በሰው ሀገር እንደዚህ አይነት ጉባዔ ማዘጋጀት መታደል ነው እግዚአብሔር ይመስገን ደስ ይላል,2025-05-10T06:38:31Z,1
19,EYmNBfyGNGw,@BizuyehuShawa,"እመቤቴ እናቴ ቤዛዊተ አለም
ልደትሽ ልደታችን ነው
እንኳን ለእናታችን ለቅድስት ድንግል ማርያም የልደት በዓል አደረሳቹ አደረሰን",2025-05-10T03:50:10Z,3
20,EYmNBfyGNGw,@kinfedukem,Amen,2025-05-10T02:24:08Z,2
24,d_DBmzi0zmA,@HermellaYonas-f2t,amen ❤❤❤❤,2025-05-09T19:11:54Z,1
1597,nJCCe4RVkxc,@AyeldAbebe,አሜን ሰማይቱ ይጠብቀን,2025-05-03T05:16:15Z,0
25,TKZp5nMa7iU,@BrightVision-t5p,🤲💒👏🏻እግዚአብሔር አምላክ ይመስገን👏⛪️🤲አሜን🤲,2025-04-29T19:05:47Z,1
26,ardtGzOpltA,@melatsamson2189,Kal hiwot yesmalene…. Ellllll,2025-04-19T23:20:25Z,0
1289,vs3iahZn8jM,@mekdlaweitbayssa2536,❤amen,2025-04-19T20:07:08Z,1
1386,rSj2PXcfR7Y,@yared5791,2:11,2025-04-19T14:01:18Z,0
1383,nAkl87eOj-w,@yared5791,5:20,2025-04-19T12:20:00Z,0
27,ardtGzOpltA,@BrightVision-t5p,❤❤❤,2025-04-19T00:00:11Z,1
